ts_utc,ts_ms,date_cn,symbol,venue,base,bid,ask,mid,spread_bp,bid_sz,ask_sz,last,usdt_vol_24h,source,in_ours_top
2026-09-12T16:39:46.728Z,1789231186728,2026-09-13,RAAPLUSDT,spot,AAPL,332.34,332.71,332.525,11.127,0.84,0.6468,332.32,7845.4652,b-side,1
2026-09-12T16:39:46.728Z,1789231186728,2026-09-13,RGOOGLUSDT,spot,GOOGL,339.02,339.28,339.15,7.6662,0.05,0.1475,339.3,169.648049,b-side,1
2026-09-12T16:39:46.728Z,1789231186728,2026-09-13,RHOODUSDT,spot,HOOD,112.14,112.37,112.255,20.4891,2.0344,1.432,112.14,1058154432.8052182,b-side,1
2026-09-12T16:39:46.728Z,1789231186728,2026-09-13,RMETAUSDT,spot,META,647.4,648.67,648.035,19.5977,7.8349,9.96,648.62,1343.86562,b-side,1
2026-09-12T16:39:46.728Z,1789231186728,2026-09-13,RMRVLUSDT,spot,MRVL,236.13,236.96,236.54500000000002,35.0885,1.068,1.056,236.96,2754.52503,b-side,1
2026-09-12T16:39:46.728Z,1789231186728,2026-09-13,RNVDAUSDT,spot,NVDA,218.94,219.05,218.995,5.0229,0.5539,0.2158,218.94,17170.448992,b-side,1
2026-09-12T16:39:46.728Z,1789231186728,2026-09-13,RQQQUSDT,spot,QQQ,714.59,715.09,714.84,6.9946,25.0339,19.3104,715.09,340.811894,b-side,1
2026-09-12T16:39:46.728Z,1789231186728,2026-09-13,RSOXLUSDT,spot,SOXL,122.27,122.28,122.275,0.8178,5.0,200.0,122.28,2894773969.214765,b-side,1
2026-09-12T16:39:46.728Z,1789231186728,2026-09-13,RSPYUSDT,spot,SPY,764.34,765.72,765.03,18.0385,20.3839,28.0669,765.72,25176602920.071472,b-side,1
2026-09-12T16:39:46.728Z,1789231186728,2026-09-13,RTSLAUSDT,spot,TSLA,365.74,365.76,365.75,0.5468,0.375,94.0988,365.76,3501.848905,b-side,1
2026-09-12T16:39:46.728Z,1789231186728,2026-09-13,SOXLUSDT,perp,SOXL,122.82,122.83,122.82499999999999,0.8142,18.51,11.61,122.83,14565078.0487,b-side,1
2026-09-12T16:39:46.728Z,1789231186728,2026-09-13,SPYUSDT,perp,SPY,766.01,766.02,766.015,0.1305,0.44,2720.95,766.0,285795.2044,b-side,1
2026-09-12T16:39:46.728Z,1789231186728,2026-09-13,TSLAUSDT,perp,TSLA,366.13,366.15,366.14,0.5462,1.09,176.15,366.15,1368851.3971,b-side,1
2026-09-12T16:40:46.731Z,1789231246731,2026-09-13,AAPLUSDT,perp,AAPL,333.88,333.89,333.885,0.2995,0.31,263.56,333.88,1342482.3396,b-side,1
2026-09-12T16:40:46.731Z,1789231246731,2026-09-13,GOOGLUSDT,perp,GOOGL,339.85,339.89,339.87,1.1769,1.05,116.79,339.82,1019080.1377,b-side,1
2026-09-12T16:40:46.731Z,1789231246731,2026-09-13,HOODUSDT,perp,HOOD,112.55,112.56,112.555,0.8885,13.65,26.26,112.52,356594.4238,b-side,1
2026-09-12T16:40:46.731Z,1789231246731,2026-09-13,METAUSDT,perp,META,650.11,650.14,650.125,0.4614,0.07,3.43,650.12,477566.4164,b-side,1
2026-09-12T16:40:46.731Z,1789231246731,2026-09-13,MRVLUSDT,perp,MRVL,237.48,237.49,237.485,0.4211,0.2,290.02,237.51,1408415.8915,b-side,1
