ts_ms,ts_utc,spot_symbol,perp_symbol,spot_close,perp_close,basis_bp,spot_lag_bars
1789057500000,2026-09-10T16:25:00Z,RAAPLUSDT,AAPLUSDT,321.905,322.15,7.610941,0
1789057800000,2026-09-10T16:30:00Z,RAAPLUSDT,AAPLUSDT,321.64,321.95,9.638105,0
1789058100000,2026-09-10T16:35:00Z,RAAPLUSDT,AAPLUSDT,323.04,323.29,7.73898,0
1789058400000,2026-09-10T16:40:00Z,RAAPLUSDT,AAPLUSDT,324.475,324.73,7.858849,0
1789058700000,2026-09-10T16:45:00Z,RAAPLUSDT,AAPLUSDT,323.45,323.76,9.584171,0
1789059000000,2026-09-10T16:50:00Z,RAAPLUSDT,AAPLUSDT,323.555,323.77,6.644929,0
1789059300000,2026-09-10T16:55:00Z,RAAPLUSDT,AAPLUSDT,323.35,323.63,8.659347,0
1789059600000,2026-09-10T17:00:00Z,RAAPLUSDT,AAPLUSDT,323.1324,323.3,5.186728,0
1789059900000,2026-09-10T17:05:00Z,RAAPLUSDT,AAPLUSDT,323.43,323.61,5.565346,0
1789060200000,2026-09-10T17:10:00Z,RAAPLUSDT,AAPLUSDT,323.55,323.69,4.326997,0
1789060500000,2026-09-10T17:15:00Z,RAAPLUSDT,AAPLUSDT,323.835,324.06,6.947983,0
1789060800000,2026-09-10T17:20:00Z,RAAPLUSDT,AAPLUSDT,323.96,324.24,8.643042,0
1789061100000,2026-09-10T17:25:00Z,RAAPLUSDT,AAPLUSDT,324.822,325.01,5.787785,0
1789061400000,2026-09-10T17:30:00Z,RAAPLUSDT,AAPLUSDT,325.325,325.65,9.99001,0
1789061700000,2026-09-10T17:35:00Z,RAAPLUSDT,AAPLUSDT,325.1,325.27,5.22916,0
1789062000000,2026-09-10T17:40:00Z,RAAPLUSDT,AAPLUSDT,325.44,325.61,5.223697,0
1789062300000,2026-09-10T17:45:00Z,RAAPLUSDT,AAPLUSDT,325.39,325.58,5.839147,0
1789062600000,2026-09-10T17:50:00Z,RAAPLUSDT,AAPLUSDT,325.0,325.17,5.230769,0
1789062900000,2026-09-10T17:55:00Z,RAAPLUSDT,AAPLUSDT,325.01,325.28,8.307437,0
