ts_ms,ts_utc,base,venue,side,slip_target_bp,capacity_usd,actual_slip_bp,best_price
1789233964551,2026-09-12T17:26:04Z,META,perp,bid,1.0,773.43,0.1448,649.95
1789233964551,2026-09-12T17:26:04Z,META,perp,bid,5.0,3353.32,1.2589,649.95
1789233964551,2026-09-12T17:26:04Z,META,perp,ask,1.0,26221.97,0.5249,649.99
1789233964551,2026-09-12T17:26:04Z,META,perp,ask,5.0,26221.97,0.5249,649.99
1789233964551,2026-09-12T17:26:04Z,MRVL,perp,bid,1.0,10325.65,0.7934,237.39
1789233964551,2026-09-12T17:26:04Z,MRVL,perp,bid,5.0,144231.64,1.4399,237.39
1789233964551,2026-09-12T17:26:04Z,MRVL,perp,ask,1.0,211858.65,0.4725,237.4
1789233964551,2026-09-12T17:26:04Z,MRVL,perp,ask,5.0,211858.65,0.4725,237.4
1789233964551,2026-09-12T17:26:04Z,NVDA,perp,bid,1.0,34422.4,0.8815,219.48
1789233964551,2026-09-12T17:26:04Z,NVDA,perp,bid,5.0,34422.4,0.8815,219.48
1789233964551,2026-09-12T17:26:04Z,NVDA,perp,ask,1.0,122481.57,0.8605,219.49
1789233964551,2026-09-12T17:26:04Z,NVDA,perp,ask,5.0,260654.07,1.214,219.49
1789233964551,2026-09-12T17:26:04Z,QQQ,perp,bid,1.0,4169.69,0.2568,716.46
1789233964551,2026-09-12T17:26:04Z,QQQ,perp,bid,5.0,4169.69,0.2568,716.46
1789233964551,2026-09-12T17:26:04Z,QQQ,perp,ask,1.0,293769.45,0.0825,716.47
1789233964551,2026-09-12T17:26:04Z,QQQ,perp,ask,5.0,293769.45,0.0825,716.47
1789233964551,2026-09-12T17:26:04Z,SOXL,perp,bid,1.0,2536.11,0.4314,122.76
1789233964551,2026-09-12T17:26:04Z,SOXL,perp,bid,5.0,159199.63,2.4952,122.76
1789233964551,2026-09-12T17:26:04Z,SOXL,perp,ask,1.0,265639.19,0.7128,122.77
1789233964551,2026-09-12T17:26:04Z,SOXL,perp,ask,5.0,326460.85,1.1869,122.77
1789233964551,2026-09-12T17:26:04Z,SPY,perp,bid,1.0,27978.38,0.8934,765.97
1789233964551,2026-09-12T17:26:04Z,SPY,perp,bid,5.0,38370.83,1.1111,765.97
